编号,名称,规格,年代,材质,类别,级别,4DAGE链接
jgs71,"1930年代初期湘赣省地方武装使用的抬枪","枪管直径4.1cm","1930年代初期","木，铁","器物类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs71&v=1"
jgs72,"中号坩埚","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs72&v=1"
jgs73,"大号坩埚","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs73&v=1"
jgs74,"小号坩埚","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs74&v=1"
jgs75,"木尺","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs75&v=1"
jgs76,"木工具箱","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs76&v=1"
jgs77,"藤篮","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs77&v=1"
jgs78,"牛皮文件包","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs78&v=1"
jgs79,"樟木箱","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs79&v=1"
jgs80,"铁镐","","","","","","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs80&v=1"
jgs81,"明太师木圈椅","","明代","木","其他","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs81&v=1"
jgs82,"民国龙凤椅","","民国","复合材质","其他","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs82&v=1"
jgs83,"民国无纹带铜烟盒","","民国","铜","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs83&v=1"
jgs84,"民国无纹铜烟杆","","民国","铜","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs84&v=1"
jgs85,"1928年红军送给李尚发的搪瓷杯","底径10cm，通高14cm","1928年","铁","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs85&v=1"
jgs86,"1928年黄洋界保卫战群众给红军送子弹使用的木箱","长26cm，宽19.5cm，高10.5cm","1928年","木，铁","武器类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs86&v=1"
jgs87,"1928年宁冈县四区二乡工农兵政府使用的马灯残架","底口径14.2cm，通高35cm","1928年","铁","办公用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs87&v=1"
jgs88,"1928年宁冈县四区二乡工农兵政府使用的马灯","底径14.2cm，通高35cm","1928年","玻璃，铁","办公用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs88&v=1"
jgs89,"1949年天津解放时黄克诚赠陈正人的半导体收音机","通长15cm，通宽29cm，通高18.5cm","1949年","铁，其他无机质","名人遗物","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs89&v=1"
jgs90,"1928年永新县某乡工农兵政府主席尹初官使用的印盒","长5.4cm，宽1.8cm，厚1.5cm","1928年","铁","玺印符牌","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs90&v=1"
jgs91,"1928年红军送给井冈山群众李富祥的铜脸盆","口径34cm，底径20cm，通高7.5cm","1928年","铜","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs91&v=1"
jgs92,"1928年红军打土豪分给宁冈县群众的绣花小脚布鞋","长14.8cm，宽4.4cm，厚8.5cm","1928年","棉麻纤维","服装标识","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs92&v=1"
jgs93,"清镂雕描金人文故事图案诗词挂屏","纵154cm，横194cm，厚3cm","清","木","雕塑","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs93&v=1"
jgs94,"20世纪20年代初期原湘军赵恒惕部第二旅二团士兵贺国中使用的铜笔架","纵9cm，横4cm，高7.4cm","20世纪20年代初期","铜","名人遗物","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs94&v=1"
jgs95,"1926年「永新六区厚溪第五乡农民协会」条形木印","纵9.8cm，横1.8cm，厚2.8cm","1926年","木","玺印符牌","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs95&v=1"
jgs96,"1928年红军送给李尚发的搪瓷脸盆","口径35cm，底径18cm","1928年","铁","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs96&v=1"
jgs97,"1931年墨书红军标语的木窗板","纵66.5cm，横36.5cm，厚度2cm","1931年","木","宣传标语","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs97&v=1"
jgs98,"1931年写有红军标语的木窗门板","纵66.5cm，横36.5cm，厚度2cm","1931年","木","宣传标语","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs98&v=1"
jgs99,"1931年湘赣省军区兵工厂制造的手榴弹","弹头直径3.8cm，弹头直径1.6cm，通长11.8cm","1931年","木，铁","武器类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs99&v=1"
jgs100,"1931年湘赣省军区兵工厂制造的手榴弹","弹头直径3.8cm，弹头直径1.6cm，通长11.7cm","1931年","木，铁","武器类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs100&v=1"
jgs101,"1931年中共湘赣省委宣传部长甘露使用过的铁香烟盒","纵9.2cm，横1.5cm，高8.5cm","1931年","铁，其他无机质","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs101&v=1"
jgs102,"1965年5月湖南省委书记张平化井冈山题写的七言诗轴","画心纵64cm，横33cm，整体纵190cm，横47.5cm","1965年5月","纸，木","题词手稿","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs102&v=1"
jgs103,"1965年6月解放军空军副司令员曹里怀在井冈山题写的七言诗轴","画心纵96cm，横52cm，整体纵205cm，横66.5cm","1965年6月","纸，木","题词手稿","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs103&v=1"
jgs104,"1965年7月郭沫若题词「井冈山大井革命群众集体殉难纪念亭」卷轴","画心纵16.7cm，横158.5cm，整体纵29cm，横206cm","1965年7月","纸，木","题词手稿","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs104&v=1"
jgs105,"1965年7月郭沫若题「井冈山光荣敬老院」卷轴","画心纵21.3cm，横137.3cm，整体纵32cm，横184cm","1965年7月","纸","题词手稿","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs105&v=1"
jgs106,"1965年7月郭沫若题写「井冈山小学」卷轴","画心纵22.2cm，横74.5cm，整体纵32.8cm，横126.5cm","1965年7月","纸，木","题词手稿","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs106&v=1"
jgs107,"第二次国内革命战争时期红军战士罗初林使用的搪瓷脸盆","口径35cm，底径18cm","1927-1937年","铁","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs107&v=1"
jgs108,"第二次国内革命战争时期中华苏维埃共和国国家银行伍分铜币","直径2.6cm，厚度0.2cm","1927-1937年","铜","钱币","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs108&v=1"
jgs109,"第二次国内革命战争时期中华苏维埃共和国国家银行壹分铜币","直径1.7cm，厚度0.11cm","1927-1937年","铜","钱币","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs109&v=1"
jgs110,"清光绪木刻描金八仙人物花卉图案诗词挂屏","纵170cm，横184cm，厚3.7cm","清光绪","木","雕塑","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs110&v=1"
jgs111,"清福禄纹烟丝铜盒","底纵3cm，横6.5cm，高6.4cm","清","铜","器物类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs111&v=1"
jgs112,"清光绪粉彩花鸟纹攒盘","纵31.5cm，横31.5cm，高10.5cm","清光绪","木，瓷","器物类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs112&v=1"
jgs113,"清光绪青花山水人物纹笔筒","口径13cm，底径12.6cm，高14cm","清光绪","瓷","器物类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs113&v=1"
jgs114,"清红釉束口三足香炉","口径14.5cm，高13.2cm，腹围51.5cm","清","瓷","宗教祭祀","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs114&v=1"
jgs115,"清康熙青花龙纹香炉","口径22.2cm，底径20.5cm，高20.4cm","清康熙","瓷","宗教祭祀","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs115&v=1"
jgs116,"清龙尾挂式铜油灯架","底径13.2cm，通高20.5cm","清","铜","器物类","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs116&v=1"
jgs117,"清描金江夏堂神祖牌","通长23.5cm，通宽42.5cm，通高49.2cm","清","木","宗教祭祀","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs117&v=1"
jgs118,"清钱纹铜水烟枪","底长7.3cm，横3.5cm，通高10.5cm","清","铜","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs118&v=1"
jgs119,"清塔形双层铁烛台","底边8.6cm，通高29.4cm","清","铁，宝玉石","宗教祭祀","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs119&v=1"
jgs120,"清铜挂饰","挂筒长7.1cm，口径0.8cm，通长30cm","清","铜，棉麻纤维","其他","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs120&v=1"
jgs121,"清腰形首饰竹盒","底纵12.5cm，横22.6cm，高11.2cm","清","竹，铁","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs121&v=1"
jgs122,"清腰形首饰竹盒","底纵9.8cm，横16.7cm，高8cm","清","竹，铁","生活用品","三级","https://4dscene.4dage.com/culturalrelics/JGSGMBWG/Model.html?m=jgs122&v=1"
