编号,名称,推测材质类别
jgs71,抬枪,其他
jgs72,中号坩埚,其他
jgs73,大号坩埚,其他
jgs74,小号坩埚,其他
jgs75,木尺,竹木器
jgs76,木工具箱,竹木器
jgs77,藤篮,竹木器
jgs78,牛皮文件包,织物/皮革
jgs79,樟木箱,竹木器
jgs80,铁镐,金属器
jgs81,明太师木圈椅,竹木器
jgs82,民国龙凤椅,其他
jgs83,民国无纹带铜烟盒,金属器
jgs84,民国无纹铜烟杆,金属器
jgs85,搪瓷杯,陶瓷器
jgs86,木箱,竹木器
jgs87,马灯残架,其他
jgs88,马灯,其他
jgs89,半导体收音机,其他
jgs90,印盒,其他
jgs91,铜脸盆,金属器
jgs92,绣花小脚布鞋,织物/皮革
jgs93,清镂雕描金人文故事图案诗词挂屏,其他
jgs94,铜笔架,金属器
jgs95,条形木印,竹木器
jgs96,搪瓷脸盆,陶瓷器
jgs97,木窗板-00552,竹木器
jgs98,木窗板-00912,竹木器
jgs99,手榴弹-1,其他
jgs100,手榴弹-2,其他
jgs101,铁香烟盒,金属器
jgs102,张平化写的七言诗轴,纸质/书画
jgs103,曹里怀写的七言诗轴,纸质/书画
jgs104,井冈山大井革命群众集体殉难纪念亭卷轴,纸质/书画
jgs105,井冈山光荣敬老院卷轴,纸质/书画
jgs106,井冈山小学卷轴,纸质/书画
jgs107,搪瓷脸盆,陶瓷器
jgs108,伍分铜币,金属器
jgs109,壹分铜币,金属器
jgs110,牌匾,其他
jgs111,清福禄纹烟丝铜盒,金属器
jgs112,清光绪粉彩花鸟纹攒盘,陶瓷器
jgs113,清光绪青花山水人物纹笔筒,陶瓷器
jgs114,清红釉束口三足香炉,陶瓷器
jgs115,清康熙青花龙纹香炉,陶瓷器
jgs116,清龙尾挂式铜油灯架,金属器
jgs117,清描金江夏堂神祖牌,其他
jgs118,清钱纹铜水烟枪,金属器
jgs119,清塔形双层铁烛台,金属器
jgs120,清铜挂饰,金属器
jgs121,清腰形首饰竹盒（大）,竹木器
jgs122,清腰形首饰竹盒（小）,竹木器
jgs123,西晋青瓷唾壶,陶瓷器
